Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
115 ST & 76A AVE,Casualty,DELTA,2017,1,49.14231,-122.904281
116 ST & 73A AVE,Casualty,DELTA,2017,1,49.136311,-122.901419
116 ST & 78A AVE,Casualty,DELTA,2017,1,49.145963,-122.901434
117 ST & 75A AVE,Casualty,DELTA,2017,1,49.140152,-122.898718
117 ST & 94 AVE,Casualty,DELTA,2017,1,49.173414,-122.898425
117A ST & 88 AVE,Casualty,DELTA,2017,1,49.163237,-122.897367
118 ST & 75A AVE,Casualty,DELTA,2017,1,49.140155,-122.895885
118 ST & 92 AVE,Casualty,DELTA,2017,1,49.170511,-122.895736
119 ST & 80 AVE,Casualty,DELTA,2017,1,49.14859,-122.893646
119 ST & 88 AVE,Casualty,DELTA,2017,1,49.163212,-122.892724
119B ST & 95A AVE,Casualty,DELTA,2017,1,49.176108,-122.892287
12 AVE & 55 ST,Casualty,DELTA,2017,1,49.024705,-123.072136
12 AVE & BEACH GROVE RD & BOUNDARY BAY RD,Casualty,DELTA,2017,1,49.024554,-123.058512
12 AVE & ENGLISH BLUFF RD,Casualty,DELTA,2017,1,49.024723,-123.090828
120 ST & 56 AVE,Casualty,DELTA,2017,1,49.104708,-122.890396
120 ST & 92A AVE,Casualty,DELTA,2017,1,49.171372,-122.890249
19 AVE & 56 ST,Casualty,DELTA,2017,1,49.03684,-123.068654
27B AVE & DELTAPORT WAY & DELTAPORT WAY OVERPASS & ROBERTS BANK RD,Casualty,DELTA,2017,1,49.051637,-123.120474
28 AVE & 56 ST,Casualty,DELTA,2017,1,49.05383,-123.06862
28 AVE OVERPASS & HWY 17 & HWY 17A & HWY 17A OFFRAMP,Casualty,DELTA,2017,1,49.05381,-123.057206
36 AVE & 46A ST,Casualty,DELTA,2017,1,49.068532,-123.09608
4 AVE & 54 ST,Casualty,DELTA,2017,1,49.010075,-123.074099
4 AVE & 55 ST,Casualty,DELTA,2017,1,49.010109,-123.071412
