Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
BRUNETTE AVE & KEARY ST & SPRUCE ST,Casualty,NEW WESTMINSTER,2016,3,49.225286,-122.889397
COLUMBIA ST & FRONT ST & NEW WESTMINSTER STATION & TURNING LANE,Casualty,NEW WESTMINSTER,2016,3,49.200524,-122.912578
COLUMBIA ST & TENTH ST,Casualty,NEW WESTMINSTER,2016,3,49.200124,-122.915441
E COLUMBIA ST & FRONT ST,Casualty,NEW WESTMINSTER,2016,3,49.214795,-122.894423
E EIGHTH AVE & RICHMOND ST,Casualty,NEW WESTMINSTER,2016,3,49.229538,-122.898554
EDINBURGH ST & TWELFTH ST,Casualty,NEW WESTMINSTER,2016,3,49.21124,-122.935064
EIGHTH ST & THIRD AVE,Casualty,NEW WESTMINSTER,2016,3,49.206709,-122.918371
LONDON ST & TWENTIETH ST,Casualty,NEW WESTMINSTER,2016,3,49.205042,-122.951121
10TH AVE & FOURTH ST & TENTH AVE,Casualty,NEW WESTMINSTER,2016,4,49.220334,-122.925085
BOYD ST & DERWENT WAY & DUNCAN ST,Casualty,NEW WESTMINSTER,2016,4,49.194605,-122.937104
COLUMBIA ST & E COLUMBIA ST & E ROYAL AVE & HWY 1A & LEOPOLD PL & MCBRIDE BLVD & ROYAL AVE & HIGHWAY RAMP,Casualty,NEW WESTMINSTER,2016,4,49.211366,-122.900283
CUMBERLAND ST & E COLUMBIA ST,Casualty,NEW WESTMINSTER,2016,4,49.220462,-122.893018
E COLUMBIA ST & KEARY ST,Casualty,NEW WESTMINSTER,2016,4,49.225541,-122.89289
EIGHTH AVE & SECOND ST,Casualty,NEW WESTMINSTER,2016,4,49.219385,-122.917692
EIGHTH ST & QUEENS AVE,Casualty,NEW WESTMINSTER,2016,4,49.205148,-122.916375
FIFTH AVE & STEWARDSON WAY,Casualty,NEW WESTMINSTER,2016,4,49.203961,-122.933784
MEAD ST & TWENTIETH ST,Casualty,NEW WESTMINSTER,2016,4,49.200986,-122.946025
QUEENS AVE & SIXTH ST,Casualty,NEW WESTMINSTER,2016,4,49.207131,-122.912704
SEVENTH AVE & SIXTH ST,Casualty,NEW WESTMINSTER,2016,4,49.21448,-122.921981
SIXTH AVE & SIXTH ST,Casualty,NEW WESTMINSTER,2016,4,49.213158,-122.920332
BOYD ST & GIFFORD ST,Casualty,NEW WESTMINSTER,2016,5,49.185225,-122.952393
BOYD ST & HWY 91A & QUEENSBOROUGH BRIDGE,Casualty,NEW WESTMINSTER,2016,5,49.192458,-122.942916
BRAID ST & CANFOR AVE,Casualty,NEW WESTMINSTER,2016,5,49.229718,-122.878569
BRUNETTE AVE & DEBECK ST & E COLUMBIA ST,Casualty,NEW WESTMINSTER,2016,5,49.221968,-122.892985
EIGHTH AVE & FIFTH ST,Casualty,NEW WESTMINSTER,2016,5,49.2167,-122.922639
EIGHTH AVE & TENTH ST,Casualty,NEW WESTMINSTER,2016,5,49.212472,-122.930484
ROYAL AVE & SEVENTH ST,Casualty,NEW WESTMINSTER,2016,5,49.204885,-122.912432
CLINTON PL & PARK ROW & ROYAL AVE & SECOND ST & TURNING LANE,Casualty,NEW WESTMINSTER,2016,6,49.209181,-122.904788
COLBORNE ST & EIGHTH AVE & PARK CRES,Casualty,NEW WESTMINSTER,2016,6,49.221342,-122.913982
COLUMBIA ST & FOURTH ST,Casualty,NEW WESTMINSTER,2016,6,49.204592,-122.90529
EIGHTH AVE & TWELFTH ST,Casualty,NEW WESTMINSTER,2016,6,49.210511,-122.934131
FOURTH AVE & SIXTH ST,Casualty,NEW WESTMINSTER,2016,6,49.210248,-122.916606
HWY 91 & HWY 91 ONRAMP & HWY 91A & WESTMINSTER HWY OFFRAMP & WESTMINSTER HWY ONRAMP,Casualty,NEW WESTMINSTER,2016,6,49.177173,-122.96069
HWY 91 & HWY 91A,Casualty,NEW WESTMINSTER,2016,6,49.176802,-122.956418
SIXTH AVE & TENTH ST,Casualty,NEW WESTMINSTER,2016,6,49.209625,-122.926885
FIFTH AVE & SIXTH ST,Casualty,NEW WESTMINSTER,2016,7,49.211779,-122.91857
MCBRIDE BLVD & MEMORIAL DR,Casualty,NEW WESTMINSTER,2016,7,49.215096,-122.902752
SIXTH AVE & TWELFTH ST,Casualty,NEW WESTMINSTER,2016,7,49.207609,-122.930604
10TH AVE & CARIBOO RD & E TENTH AVE & SURREY ST & TURNING LANE,Casualty,NEW WESTMINSTER,2016,8,49.23309,-122.901394
COLUMBIA ST & EIGHTH ST,Casualty,NEW WESTMINSTER,2016,8,49.201235,-122.911514
COLUMBIA ST & SIXTH ST,Casualty,NEW WESTMINSTER,2016,8,49.203232,-122.907813
E COLUMBIA ST & RICHMOND ST,Casualty,NEW WESTMINSTER,2016,8,49.216542,-122.893812
CUMBERLAND ST & E EIGHTH AVE,Casualty,NEW WESTMINSTER,2016,9,49.2243,-122.908479
FIRST ST & ROYAL AVE,Casualty,NEW WESTMINSTER,2016,9,49.209998,-122.902705
10TH AVE & 2ND ST & SECOND ST & TENTH AVE,Casualty,NEW WESTMINSTER,2016,10,49.222306,-122.921408
10TH AVE & CUMBERLAND ST & E TENTH AVE,Casualty,NEW WESTMINSTER,2016,10,49.227292,-122.912147
SECOND ST & SIXTH AVE,Casualty,NEW WESTMINSTER,2016,10,49.216527,-122.914111
EIGHTH AVE & SIXTH ST,Casualty,NEW WESTMINSTER,2016,11,49.216017,-122.923899
EIGHTH AVE & TWENTIETH ST,Casualty,NEW WESTMINSTER,2016,11,49.202833,-122.948359
FOURTH ST & ROYAL AVE,Casualty,NEW WESTMINSTER,2016,11,49.207062,-122.908407
BRAID ST & E COLUMBIA ST,Casualty,NEW WESTMINSTER,2016,12,49.231625,-122.892723
BRAID ST & ROUSSEAU ST,Casualty,NEW WESTMINSTER,2016,12,49.231539,-122.886232
EIGHTH AVE & EIGHTH ST,Casualty,NEW WESTMINSTER,2016,12,49.214,-122.927667
10TH AVE & 6TH ST & SIXTH ST & TENTH AVE,Casualty,NEW WESTMINSTER,2016,13,49.218965,-122.92762
10TH AVE & E TENTH AVE & MCBRIDE BLVD & MCBRIDE BLVD ONRAMP & TENTH AVE,Casualty,NEW WESTMINSTER,2016,13,49.224688,-122.916996
E COLUMBIA ST & HOLMES ST,Casualty,NEW WESTMINSTER,2016,13,49.235694,-122.892602
10TH AVE & GRIFFITHS DR & SOUTHRIDGE DR & TENTH AVE & TWENTIETH ST & TURNING LANE,Casualty,NEW WESTMINSTER,2016,16,49.205812,-122.952118
ROYAL AVE & SIXTH ST,Casualty,NEW WESTMINSTER,2016,16,49.205702,-122.91092
HWY 91A OFFRAMP & SIXTH AVE & SIXTH AVE ONRAMP & TWENTIETH ST & TURNING LANE,Casualty,NEW WESTMINSTER,2016,20,49.200051,-122.945334
10TH AVE & KINGSWAY & TENTH AVE & TWELFTH ST,Casualty,NEW WESTMINSTER,2016,23,49.213429,-122.937862
BOYD ST & HOWES ST & TURNING LANE,Casualty,NEW WESTMINSTER,2016,24,49.190086,-122.948533
E SIXTH AVE & MCBRIDE BLVD & SIXTH AVE,Casualty,NEW WESTMINSTER,2016,24,49.219542,-122.908457
E ROYAL AVE & MCBRIDE BLVD & ROYAL AVE,Casualty,NEW WESTMINSTER,2016,25,49.212087,-122.898921
HOWES ST & HOWES ST OFFRAMP & HOWES ST ONRAMP & HWY 91A & TURNING LANE,Casualty,NEW WESTMINSTER,2016,27,49.188122,-122.94821
COLUMBIA ST & E COLUMBIA ST & MCBRIDE BLVD,Casualty,NEW WESTMINSTER,2016,30,49.211082,-122.897643
E EIGHTH AVE & EIGHTH AVE & MCBRIDE BLVD,Casualty,NEW WESTMINSTER,2016,30,49.2224,-122.911951
10TH AVE & CANADA WAY & EIGHTH ST & TENTH AVE,Casualty,NEW WESTMINSTER,2016,34,49.216882,-122.931469
BRAID ST & BRUNETTE AVE,Casualty,NEW WESTMINSTER,2016,49,49.231356,-122.882908
BRUNETTE AVE & BRUNETTE AVE OFFRAMP & BRUNETTE AVE ONRAMP & TRANS-CANADA HWY,Casualty,NEW WESTMINSTER,2016,103,49.234521,-122.878438
10TH AVE & TENTH AVE & TENTH ST,Casualty,NEW WESTMINSTER,2017,1,49.215438,-122.93419
10TH AVE & TENTH AVE & TWENTY-FIRST ST,Casualty,NEW WESTMINSTER,2017,1,49.204794,-122.953829
22ND ST STATION LOOP & SEVENTH AVE,Casualty,NEW WESTMINSTER,2017,1,49.200243,-122.949198
AGNES ST & FIRST ST,Casualty,NEW WESTMINSTER,2017,1,49.209205,-122.901828
AGNES ST & FOURTH ST,Casualty,NEW WESTMINSTER,2017,1,49.206227,-122.907353
ALBERTA ST & RICHMOND ST,Casualty,NEW WESTMINSTER,2017,1,49.223718,-122.898697
ASH ST & FIFTH AVE,Casualty,NEW WESTMINSTER,2017,1,49.210367,-122.92111
AUCKLAND ST & ELEVENTH ST,Casualty,NEW WESTMINSTER,2017,1,49.20157,-122.920712
AUCKLAND ST & TENTH ST,Casualty,NEW WESTMINSTER,2017,1,49.20284,-122.918357
BELMONT ST & SEVENTH ST,Casualty,NEW WESTMINSTER,2017,1,49.211626,-122.920954
